"year","suicide","gdp","gdp_per_capita","previous_suicide","15-24 years","25-34 years","35-54 years","5-14 years","55-74 years","75+ years"
1986,2798,"43,096,746,122",911,2982,11446810,8642142,10062378,12271604,4160106,748425
1987,3035,"50,535,438,696",1045,2798,11645746,8929180,10488527,12160568,4370030,782359
1990,3753,"85,343,063,966",1666,3035,11994656,9670224,11854740,11739741,5098342,870965
1991,3559,"98,234,695,722",1891,3753,12018501,9866059,12240791,11599856,5317982,904504
1992,3550,"111,452,869,378",2120,3559,11995252,10037269,12616398,11443600,5543887,934034
1994,2307,"146,683,499,006",2784,3550,12154000,10723000,12234000,11430000,5223000,927000
1995,4245,"169,278,552,851",3114,2307,11848724,10465881,13807202,10988177,6232400,1023673
1996,4443,"183,035,154,107",3324,4245,11611951,10738316,14416024,10813101,6417638,1073673
1997,4150,"150,180,268,649",2689,4443,11376445,10960953,15100977,10687579,6607772,1125362
1998,4963,"113,675,706,127",2005,4150,11159341,11110503,15847468,10590413,6803363,1180695
1999,5276,"126,668,932,160",2203,4963,10963416,11162821,16633182,10501074,7005668,1241699
2000,5182,"126,392,308,498",2169,5276,10788248,11106428,17437166,10404074,7216972,1309247
2002,4902,"134,300,851,255",2305,5182,10578584,11603961,17562546,9859570,7179506,1479222
2003,4484,"152,280,653,544",2531,4902,10621380,11030219,19056306,9998887,7877847,1574312
2004,4296,"172,895,476,153",2849,4484,10513424,10968217,19551259,9848564,8140950,1663959
2005,3937,"189,318,499,954",3094,4296,10393117,10905965,20006648,9688226,8435835,1752874
2006,3608,"221,758,486,880",3598,3937,10234139,10873953,20417054,9524280,8731050,1856036
2007,3754,"262,942,650,544",4461,3608,9711468,10864536,19404285,9238283,7997389,1725660
2008,3778,"291,383,081,232",4921,3754,9676828,10785330,19695039,9086381,8192114,1781081
2009,3787,"281,710,095,725",4736,3778,9631438,10667005,19942537,8918024,8469383,1855331
2010,3761,"341,105,009,515",5707,3787,9607579,10530879,20156068,8740996,8800104,1934138
2011,3873,"370,818,747,397",6153,3761,9652998,10410393,20372374,8577770,9214684,2033613
2012,3985,"397,558,094,270",6584,3873,9667319,10172271,20471114,8356913,9579920,2134718
2013,3961,"420,333,333,333",6917,3985,9697881,9999321,20627243,8208741,9933074,2300227
2014,3952,"407,339,361,696",6662,3961,9652530,9852371,20739485,8119366,10311720,2464447
2015,4205,"401,399,422,443",6552,3952,9480055,9657167,20748008,7993431,10786954,2595661
